observed_date,licensee,service,assignment_count
2026-08-19,NELSPECS LIMITED,Fixed Link,7
2026-08-19,OMV NEW ZEALAND LIMITED,Aeronautical,7
2026-08-19,PORT OF TAURANGA LIMITED,Fixed Link,7
2026-08-19,PORT OF TAURANGA LIMITED,Maritime,7
2026-08-19,RADIO NEW ZEALAND LIMITED,Fixed Link,7
2026-08-19,VITAL LIMITED,Maritime,7
2026-08-19,CANTERBURY COMMUNICATIONS LIMITED,Fixed Link,6
2026-08-19,FONTERRA CO-OPERATIVE GROUP LIMITED,Fixed Link,6
2026-08-19,KORDIA LIMITED,Satellite & Space,6
2026-08-19,MEDIAWORKS RADIO LIMITED,Satellite & Space,6
2026-08-19,TELETRONICS LIMITED,Fixed Link,6
2026-08-19,MARITIME NEW ZEALAND,Aeronautical,5
2026-08-19,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,Satellite & Space,4
2026-08-19,CSE NEW ZEALAND LIMITED,Fixed Link,4
2026-08-19,FONTERRA CO-OPERATIVE GROUP LIMITED,Telemetry & Telecommand,4
2026-08-19,NZ DEFENCE FORCE HEADQUARTERS,Paging,4
2026-08-19,NZ DEFENCE FORCE HEADQUARTERS,Telemetry & Telecommand,4
2026-08-19,PORT OF TAURANGA LIMITED,Telemetry & Telecommand,4
2026-08-19,POWERCO LIMITED,Telemetry & Telecommand,4
2026-08-19,ROYAL NEW ZEALAND COASTGUARD INCORPORATED,Land Mobile,4
2026-08-19,SPACE OPERATIONS NEW ZEALAND LIMITED,Fixed Link,4
2026-08-19,TŪ ĀTEA NETWORK SERVICES LIMITED,Land Mobile,4
2026-08-19,CSE NEW ZEALAND LIMITED,Telemetry & Telecommand,3
2026-08-19,MARLBOROUGH DISTRICT COUNCIL,Meteorological,3
2026-08-19,MEDIAWORKS RADIO LIMITED,Land Mobile,3
2026-08-19,RADIO NEW ZEALAND LIMITED,Land Mobile,3
2026-08-19,VITAL LIMITED,Aeronautical,3
2026-08-19,AIR NEW ZEALAND LIMITED,Fixed Link,2
2026-08-19,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,Land Mobile,2
2026-08-19,Downer New Zealand Limited,Paging,2
2026-08-19,ENHANCED SOLUTIONS LIMITED,Land Mobile,2
2026-08-19,KIWIRAIL LTD,Telemetry & Telecommand,2
2026-08-19,MANAWATU-WANGANUI REGIONAL COUNCIL,Telemetry & Telecommand,2
2026-08-19,MERIDIAN ENERGY LIMITED,Telemetry & Telecommand,2
2026-08-19,MOUNT CAMPBELL CONNECT LIMITED,Maritime,2
2026-08-19,NELSPECS LIMITED,Maritime,2
2026-08-19,National Emergency Management Agency,Fixed Link,2
2026-08-19,RHEMA MEDIA INCORPORATED,Satellite & Space,2
2026-08-19,RURAL CONNECTIVITY GROUP LIMITED,Satellite & Space,2
2026-08-19,SIGNALS NZ 2025 LIMITED,Fixed Link,2
2026-08-19,TELEVISION NEW ZEALAND LIMITED,Land Mobile,2
2026-08-19,TWO DEGREES NETWORKS LIMITED,Satellite & Space,2
2026-08-19,WELLINGTON WATER LIMITED,Telemetry & Telecommand,2
2026-08-19,WIZWIRELESS LIMITED,Land Mobile,2
2026-08-19,AIR NEW ZEALAND LIMITED,Paging,1
2026-08-19,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,Paging,1
2026-08-19,ASHLEY COMMUNICATIONS LIMITED,Aeronautical,1
2026-08-19,CSE NEW ZEALAND LIMITED,Aeronautical,1
2026-08-19,CSE NEW ZEALAND LIMITED,Paging,1
2026-08-19,DEPARTMENT OF CONSERVATION,Telemetry & Telecommand,1
2026-08-19,Downer New Zealand Limited,Maritime,1
2026-08-19,Downer New Zealand Limited,Meteorological,1
2026-08-19,ENTAIN NEW ZEALAND LIMITED,Telemetry & Telecommand,1
2026-08-19,FONTERRA CO-OPERATIVE GROUP LIMITED,Paging,1
2026-08-19,Fire and Emergency New Zealand,Telemetry & Telecommand,1
2026-08-19,GENESIS ENERGY LIMITED,Paging,1
2026-08-19,KORDIA LIMITED,Telemetry & Telecommand,1
2026-08-19,MARLBOROUGH DISTRICT COUNCIL,Paging,1
2026-08-19,OCEANA GOLD (NEW ZEALAND) LIMITED,Paging,1
2026-08-19,PORT OF TAURANGA LIMITED,Radiodetermination,1
2026-08-19,SIGNALS NZ 2025 LIMITED,Maritime,1
2026-08-20,ONE NEW ZEALAND GROUP LIMITED,Spectrum Licence,11183
2026-08-20,SPARK NEW ZEALAND TRADING LIMITED,Spectrum Licence,9357
2026-08-20,TWO DEGREES NETWORKS LIMITED,Spectrum Licence,7836
2026-08-20,CHORUS NEW ZEALAND LIMITED,Fixed Link,3107
2026-08-20,VITAL LIMITED,Land Mobile,2099
2026-08-20,EONFIBRE LIMITED,Fixed Link,2052
2026-08-20,KIWIRAIL,Land Mobile,1641
2026-08-20,KORDIA LIMITED,Fixed Link,1386
2026-08-20,RURAL CONNECTIVITY GROUP LIMITED,Spectrum Licence,1252
2026-08-20,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment",Broadcasting,1079
2026-08-20,TWO DEGREES NETWORKS LIMITED,Fixed Link,970
2026-08-20,SPARK NEW ZEALAND TRADING LIMITED,Fixed Link,792
2026-08-20,VITAL LIMITED,Fixed Link,726
2026-08-20,SPACE OPERATIONS NEW ZEALAND LIMITED,Satellite & Space,681
2026-08-20,ASHLEY COMMUNICATIONS LIMITED,Land Mobile,613
2026-08-20,ENTAIN NEW ZEALAND LIMITED,Land Mobile,583
2026-08-20,EVERY PERSON,General User Licence,576
2026-08-20,POWERCO LIMITED,Land Mobile,565
2026-08-20,ISO LIMITED,Land Mobile,555
2026-08-20,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,Land Mobile,549
2026-08-20,KIWIRAIL LTD,Land Mobile,548
2026-08-20,CSE NEW ZEALAND LIMITED,Land Mobile,441
2026-08-20,TAIT SYSTEMS NZ LIMITED,Fixed Link,433
2026-08-20,LIGHTWIRE LIMITED,Fixed Link,420
2026-08-20,T L PARKER LIMITED,Land Mobile,409
2026-08-20,DEPARTMENT OF CONSERVATION,Land Mobile,408
2026-08-20,NZ DEFENCE FORCE HEADQUARTERS,Fixed Link,397
2026-08-20,POWERCO LIMITED,Fixed Link,375
2026-08-20,Downer New Zealand Limited,Land Mobile,349
2026-08-20,SPARK NEW ZEALAND TRADING LIMITED,Paging,347
2026-08-20,National Emergency Management Agency,Land Mobile,344
2026-08-20,KIWIRAIL,Fixed Link,311
2026-08-20,MOBICOMM LIMITED,Land Mobile,311
2026-08-20,NZME RADIO LIMITED,Fixed Link,310
2026-08-20,ORION NEW ZEALAND LTD,Fixed Link,304
2026-08-20,INMARSAT NEW ZEALAND LIMITED,Satellite & Space,302
2026-08-20,MEDIAWORKS RADIO LIMITED,Broadcasting,283
2026-08-20,St John,Land Mobile,262
2026-08-20,DEPARTMENT OF CORRECTIONS,Land Mobile,255
2026-08-20,Fire and Emergency New Zealand,Paging,252
2026-08-20,MOUNT CAMPBELL CONNECT LIMITED,Land Mobile,240
2026-08-20,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,Aeronautical,238
2026-08-20,NZME RADIO LIMITED,Broadcasting,236
2026-08-20,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,Radiodetermination,223
2026-08-20,WIRELESS RENTALS LIMITED,Land Mobile,221
2026-08-20,RADIO NEW ZEALAND LIMITED,Broadcasting,202
2026-08-20,WATERCARE SERVICES LTD,Land Mobile,202
2026-08-20,MEDIAWORKS RADIO LIMITED,Fixed Link,198
2026-08-20,MARITIME NEW ZEALAND,Maritime,197
2026-08-20,Fire and Emergency New Zealand,Land Mobile,193
2026-08-20,"KT1 Co Limited, KT2 Co Limited, NZSF Timber Investments (No 4) Limited",Land Mobile,182
2026-08-20,"STARLINK NEW ZEALAND, UNLIMITED LIABILITY COMPANY",Satellite & Space,180
2026-08-20,TAIT INTERNATIONAL LIMITED,Land Mobile,179
2026-08-20,COLVINS LIMITED,Land Mobile,164
2026-08-20,CANTERBURY COMMUNICATIONS LIMITED,Land Mobile,162
2026-08-20,GISBORNE.NET.N.Z. LIMITED,Fixed Link,162
2026-08-20,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,Fixed Link,161
2026-08-20,NZ DEFENCE FORCE HEADQUARTERS,Aeronautical,160
2026-08-20,MARLBOROUGH LINES LIMITED,Land Mobile,157
2026-08-20,INSPIRE NET LIMITED,Land Mobile,154
2026-08-20,Spotlight NZ,Land Mobile,154
2026-08-20,SIGNALS NZ 2025 LIMITED,Land Mobile,153
2026-08-20,SUMMIT RADIO SOLUTIONS LIMITED,Land Mobile,152
2026-08-20,WATERCARE SERVICES LTD,Fixed Link,152
2026-08-20,NELSPECS LIMITED,Land Mobile,149
2026-08-20,ROYAL NEW ZEALAND COASTGUARD INCORPORATED,Maritime,149
2026-08-20,AMAZON KUIPER NEW ZEALAND LIMITED,Satellite & Space,141
2026-08-20,LIGHTWIRE LIMITED,Spectrum Licence,137
2026-08-20,SURF LIFE SAVING NEW ZEALAND INCORPORATED,Land Mobile,137
2026-08-20,DOVE COMMUNICATIONS (2023) LIMITED,Land Mobile,134
2026-08-20,ENHANCED SOLUTIONS LIMITED,Fixed Link,133
2026-08-20,NEW ZEALAND ASSOCIATION OF RADIO TRANSMITTERS INC,Amateur,132
2026-08-20,WEL NETWORKS LIMITED,Fixed Link,129
2026-08-20,INSPIRE NET LIMITED,Fixed Link,126
2026-08-20,RADIO SYSTEMS LIMITED,Land Mobile,125
2026-08-20,Unifone New Zealand Limited,Fixed Link,122
2026-08-20,TŪ ĀTEA NETWORK SERVICES LIMITED,Paging,120
2026-08-20,AMURI NET LIMITED,Spectrum Licence,117
2026-08-20,TELETRONICS LIMITED,Land Mobile,117
2026-08-20,NZ DEFENCE FORCE HEADQUARTERS,Land Mobile,115
2026-08-20,COGENT LIMITED,Land Mobile,113
2026-08-20,DEPARTMENT OF CONSERVATION,Fixed Link,106
2026-08-20,PRIMOWIRELESS LIMITED,Fixed Link,106
2026-08-20,CHATR COMMUNICATIONS LIMITED,Land Mobile,104
2026-08-20,MARLBOROUGH DISTRICT COUNCIL,Fixed Link,100
2026-08-20,RHEMA MEDIA INCORPORATED,Broadcasting,99
2026-08-20,NZ RED CROSS INC SOCIETY (NATIONAL OFFICE),Land Mobile,98
2026-08-20,TOP ENERGY,Land Mobile,98
2026-08-20,LIGHTWIRE LIMITED,Land Mobile,96
2026-08-20,OCEANA GOLD (NEW ZEALAND) LIMITED,Land Mobile,96
2026-08-20,Downer New Zealand Limited,Fixed Link,95
2026-08-20,St John,Paging,94
2026-08-20,ALCOM COMMUNICATION SERVICES LIMITED,Land Mobile,92
2026-08-20,CITY COMMS LIMITED,Land Mobile,92
2026-08-20,CHRISTCHURCH CITY COUNCIL,Land Mobile,91
2026-08-20,WEL NETWORKS LIMITED,Land Mobile,91
2026-08-20,FONTERRA CO-OPERATIVE GROUP LIMITED,Land Mobile,89
2026-08-20,AIR NEW ZEALAND LIMITED,Land Mobile,88
2026-08-20,AMURI NET LIMITED,Fixed Link,88
2026-08-20,NZ DEFENCE FORCE HEADQUARTERS,Maritime,86
2026-08-20,POWERNET LIMITED,Fixed Link,86
2026-08-20,TAUMATA PLANTATIONS LIMITED,Land Mobile,84
2026-08-20,COMMUNICATE LIMITED,Land Mobile,83
2026-08-20,ULTIMATE MOBILE LIMITED,Spectrum Licence,83
2026-08-20,MAINPOWER NEW ZEALAND LTD,Land Mobile,79
2026-08-20,ULTIMATE MOBILE LIMITED,Fixed Link,78
2026-08-20,WIZWIRELESS LIMITED,Fixed Link,76
2026-08-20,MANAWATU-WANGANUI REGIONAL COUNCIL,Land Mobile,74
2026-08-20,Fire and Emergency New Zealand,Fixed Link,73
2026-08-20,PORT OF TAURANGA LIMITED,Land Mobile,70
2026-08-20,ORION NEW ZEALAND LTD,Land Mobile,67
2026-08-20,OMV NEW ZEALAND LIMITED,Land Mobile,66
2026-08-20,MARLBOROUGH LINES LIMITED,Fixed Link,63
2026-08-20,VECTOR LIMITED,Land Mobile,63
2026-08-20,AURORA ENERGY LIMITED,Fixed Link,62
2026-08-20,NORTHPOWER LIMITED,Land Mobile,62
2026-08-20,COUNTIES ENERGY LIMITED,Land Mobile,61
2026-08-20,MINISTRY OF JUSTICE - COURT SECURITY,Paging,60
2026-08-20,AURORA ENERGY LIMITED,Land Mobile,59
2026-08-20,GENESIS ENERGY LIMITED,Fixed Link,59
2026-08-20,SKY NETWORK TELEVISION LIMITED,Satellite & Space,59
2026-08-20,MERIDIAN ENERGY LIMITED,Land Mobile,58
2026-08-20,WELLINGTON WATER LIMITED,Fixed Link,58
2026-08-20,HAMILTON CITY COUNCIL,Land Mobile,51
2026-08-20,MOUNT CAMPBELL CONNECT LIMITED,Fixed Link,51
2026-08-20,NZ DEFENCE FORCE HEADQUARTERS,Radiodetermination,50
2026-08-20,THE LINES CO LTD,Land Mobile,50
2026-08-20,WELLINGTON WATER LIMITED,Land Mobile,49
2026-08-20,NZME RADIO LIMITED,Land Mobile,48
2026-08-20,TOP ENERGY,Fixed Link,48
2026-08-20,Unifone New Zealand Limited,Spectrum Licence,46
2026-08-20,ASHLEY COMMUNICATIONS LIMITED,Fixed Link,45
2026-08-20,ALPINE ENERGY LTD,Land Mobile,44
2026-08-20,NETWORK WAITAKI LTD,Land Mobile,44
2026-08-20,ALPINE ENERGY LTD,Fixed Link,42
2026-08-20,NETWORK WAITAKI LTD,Fixed Link,42
2026-08-20,AIR NEW ZEALAND LIMITED,Aeronautical,40
2026-08-20,KORDIA LIMITED,Broadcasting,40
2026-08-20,NORTHPOWER LIMITED,Fixed Link,40
2026-08-20,ENHANCED SOLUTIONS LIMITED,Spectrum Licence,38
2026-08-20,THE LINES CO LTD,Fixed Link,38
2026-08-20,VECTOR LIMITED,Fixed Link,37
2026-08-20,SURF LIFE SAVING NEW ZEALAND INCORPORATED,Fixed Link,36
2026-08-20,TELEVISION NEW ZEALAND LIMITED,Satellite & Space,36
2026-08-20,GENESIS ENERGY LIMITED,Land Mobile,34
2026-08-20,MAINPOWER NEW ZEALAND LTD,Fixed Link,34
2026-08-20,ENTAIN NEW ZEALAND LIMITED,Outside Broadcast,33
2026-08-20,MINISTRY OF JUSTICE - COURT SECURITY,Land Mobile,32
2026-08-20,POWERNET LIMITED,Land Mobile,32
2026-08-20,COUNTIES ENERGY LIMITED,Fixed Link,31
2026-08-20,MARITIME NEW ZEALAND,Fixed Link,30
2026-08-20,SKY NETWORK TELEVISION LIMITED,Broadcasting,30
2026-08-20,TELEVISION NEW ZEALAND LIMITED,Broadcasting,30
2026-08-20,MERIDIAN ENERGY LIMITED,Fixed Link,29
2026-08-20,ROYAL NEW ZEALAND COASTGUARD INCORPORATED,Fixed Link,29
2026-08-20,TELEVISION NEW ZEALAND LIMITED,Outside Broadcast,27
2026-08-20,COLVINS LIMITED,Fixed Link,26
2026-08-20,ENTAIN NEW ZEALAND LIMITED,Broadcasting,26
2026-08-20,HAMILTON CITY COUNCIL,Fixed Link,26
2026-08-20,INSPIRE NET LIMITED,Spectrum Licence,26
2026-08-20,GENESIS ENERGY LIMITED,Telemetry & Telecommand,23
2026-08-20,MARLBOROUGH DISTRICT COUNCIL,Land Mobile,23
2026-08-20,WIZWIRELESS LIMITED,Spectrum Licence,22
2026-08-20,ENTAIN NEW ZEALAND LIMITED,Fixed Link,21
2026-08-20,KORDIA LIMITED,Land Mobile,20
2026-08-20,OMV NEW ZEALAND LIMITED,Fixed Link,18
2026-08-20,MANAWATU-WANGANUI REGIONAL COUNCIL,Fixed Link,16
2026-08-20,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,Outside Broadcast,16
2026-08-20,TAUMATA PLANTATIONS LIMITED,Fixed Link,16
2026-08-20,WATERCARE SERVICES LTD,Telemetry & Telecommand,15
2026-08-20,ALCOM COMMUNICATION SERVICES LIMITED,Fixed Link,14
2026-08-20,CHRISTCHURCH CITY COUNCIL,Fixed Link,14
2026-08-20,COMMUNICATE LIMITED,Fixed Link,14
2026-08-20,GISBORNE.NET.N.Z. LIMITED,Spectrum Licence,14
2026-08-20,KORDIA LIMITED,Outside Broadcast,14
2026-08-20,AMURI NET LIMITED,Land Mobile,12
2026-08-20,CHRISTCHURCH CITY COUNCIL,Spectrum Licence,12
2026-08-20,PRIMOWIRELESS LIMITED,Spectrum Licence,12
2026-08-20,HAMILTON CITY COUNCIL,Telemetry & Telecommand,10
2026-08-20,MARLBOROUGH DISTRICT COUNCIL,Maritime,10
2026-08-20,KORDIA LIMITED,Maritime,9
2026-08-20,OCEANA GOLD (NEW ZEALAND) LIMITED,Fixed Link,9
2026-08-20,SPARK NEW ZEALAND TRADING LIMITED,Land Mobile,9
2026-08-20,"KT1 Co Limited, KT2 Co Limited, NZSF Timber Investments (No 4) Limited",Fixed Link,8
2026-08-20,OMV NEW ZEALAND LIMITED,Radiodetermination,8
2026-08-20,RHEMA MEDIA INCORPORATED,Fixed Link,8
2026-08-20,SPARK NEW ZEALAND TRADING LIMITED,Satellite & Space,8
2026-08-20,TAIT INTERNATIONAL LIMITED,Fixed Link,8
2026-08-20,TELEVISION NEW ZEALAND LIMITED,Fixed Link,8
2026-08-20,NELSPECS LIMITED,Fixed Link,7
2026-08-20,OMV NEW ZEALAND LIMITED,Aeronautical,7
2026-08-20,PORT OF TAURANGA LIMITED,Fixed Link,7
2026-08-20,PORT OF TAURANGA LIMITED,Maritime,7
2026-08-20,RADIO NEW ZEALAND LIMITED,Fixed Link,7
2026-08-20,VITAL LIMITED,Maritime,7
2026-08-20,CANTERBURY COMMUNICATIONS LIMITED,Fixed Link,6
2026-08-20,FONTERRA CO-OPERATIVE GROUP LIMITED,Fixed Link,6
2026-08-20,KORDIA LIMITED,Satellite & Space,6
2026-08-20,MEDIAWORKS RADIO LIMITED,Satellite & Space,6
2026-08-20,TELETRONICS LIMITED,Fixed Link,6
2026-08-20,MARITIME NEW ZEALAND,Aeronautical,5
2026-08-20,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,Satellite & Space,4
2026-08-20,CSE NEW ZEALAND LIMITED,Fixed Link,4
2026-08-20,FONTERRA CO-OPERATIVE GROUP LIMITED,Telemetry & Telecommand,4
2026-08-20,NZ DEFENCE FORCE HEADQUARTERS,Paging,4
2026-08-20,NZ DEFENCE FORCE HEADQUARTERS,Telemetry & Telecommand,4
2026-08-20,PORT OF TAURANGA LIMITED,Telemetry & Telecommand,4
2026-08-20,POWERCO LIMITED,Telemetry & Telecommand,4
2026-08-20,ROYAL NEW ZEALAND COASTGUARD INCORPORATED,Land Mobile,4
2026-08-20,SPACE OPERATIONS NEW ZEALAND LIMITED,Fixed Link,4
2026-08-20,TŪ ĀTEA NETWORK SERVICES LIMITED,Land Mobile,4
2026-08-20,CSE NEW ZEALAND LIMITED,Telemetry & Telecommand,3
2026-08-20,MARLBOROUGH DISTRICT COUNCIL,Meteorological,3
2026-08-20,MEDIAWORKS RADIO LIMITED,Land Mobile,3
2026-08-20,RADIO NEW ZEALAND LIMITED,Land Mobile,3
2026-08-20,VITAL LIMITED,Aeronautical,3
2026-08-20,AIR NEW ZEALAND LIMITED,Fixed Link,2
2026-08-20,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,Land Mobile,2
2026-08-20,Downer New Zealand Limited,Paging,2
2026-08-20,ENHANCED SOLUTIONS LIMITED,Land Mobile,2
2026-08-20,KIWIRAIL LTD,Telemetry & Telecommand,2
2026-08-20,MANAWATU-WANGANUI REGIONAL COUNCIL,Telemetry & Telecommand,2
2026-08-20,MERIDIAN ENERGY LIMITED,Telemetry & Telecommand,2
2026-08-20,MOUNT CAMPBELL CONNECT LIMITED,Maritime,2
2026-08-20,NELSPECS LIMITED,Maritime,2
2026-08-20,National Emergency Management Agency,Fixed Link,2
2026-08-20,RHEMA MEDIA INCORPORATED,Satellite & Space,2
2026-08-20,RURAL CONNECTIVITY GROUP LIMITED,Satellite & Space,2
2026-08-20,SIGNALS NZ 2025 LIMITED,Fixed Link,2
2026-08-20,TELEVISION NEW ZEALAND LIMITED,Land Mobile,2
2026-08-20,TWO DEGREES NETWORKS LIMITED,Satellite & Space,2
2026-08-20,WELLINGTON WATER LIMITED,Telemetry & Telecommand,2
2026-08-20,WIZWIRELESS LIMITED,Land Mobile,2
2026-08-20,AIR NEW ZEALAND LIMITED,Paging,1
2026-08-20,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,Paging,1
2026-08-20,ASHLEY COMMUNICATIONS LIMITED,Aeronautical,1
2026-08-20,CSE NEW ZEALAND LIMITED,Aeronautical,1
2026-08-20,CSE NEW ZEALAND LIMITED,Paging,1
2026-08-20,DEPARTMENT OF CONSERVATION,Telemetry & Telecommand,1
2026-08-20,Downer New Zealand Limited,Maritime,1
2026-08-20,Downer New Zealand Limited,Meteorological,1
2026-08-20,ENTAIN NEW ZEALAND LIMITED,Telemetry & Telecommand,1
2026-08-20,FONTERRA CO-OPERATIVE GROUP LIMITED,Paging,1
2026-08-20,Fire and Emergency New Zealand,Telemetry & Telecommand,1
2026-08-20,GENESIS ENERGY LIMITED,Paging,1
2026-08-20,KORDIA LIMITED,Telemetry & Telecommand,1
2026-08-20,MARLBOROUGH DISTRICT COUNCIL,Paging,1
2026-08-20,OCEANA GOLD (NEW ZEALAND) LIMITED,Paging,1
2026-08-20,PORT OF TAURANGA LIMITED,Radiodetermination,1
2026-08-20,SIGNALS NZ 2025 LIMITED,Maritime,1
2026-08-21,ONE NEW ZEALAND GROUP LIMITED,Spectrum Licence,11183
2026-08-21,SPARK NEW ZEALAND TRADING LIMITED,Spectrum Licence,9357
2026-08-21,TWO DEGREES NETWORKS LIMITED,Spectrum Licence,7836
2026-08-21,CHORUS NEW ZEALAND LIMITED,Fixed Link,3107
2026-08-21,VITAL LIMITED,Land Mobile,2099
2026-08-21,EONFIBRE LIMITED,Fixed Link,2052
2026-08-21,KIWIRAIL,Land Mobile,1641
2026-08-21,KORDIA LIMITED,Fixed Link,1386
2026-08-21,RURAL CONNECTIVITY GROUP LIMITED,Spectrum Licence,1252
2026-08-21,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment",Broadcasting,1079
2026-08-21,TWO DEGREES NETWORKS LIMITED,Fixed Link,970
2026-08-21,SPARK NEW ZEALAND TRADING LIMITED,Fixed Link,792
2026-08-21,VITAL LIMITED,Fixed Link,726
2026-08-21,SPACE OPERATIONS NEW ZEALAND LIMITED,Satellite & Space,681
2026-08-21,ASHLEY COMMUNICATIONS LIMITED,Land Mobile,613
2026-08-21,ENTAIN NEW ZEALAND LIMITED,Land Mobile,583
2026-08-21,EVERY PERSON,General User Licence,576
2026-08-21,POWERCO LIMITED,Land Mobile,565
2026-08-21,ISO LIMITED,Land Mobile,555
2026-08-21,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,Land Mobile,549
2026-08-21,KIWIRAIL LTD,Land Mobile,548
2026-08-21,CSE NEW ZEALAND LIMITED,Land Mobile,441
2026-08-21,TAIT SYSTEMS NZ LIMITED,Fixed Link,433
2026-08-21,LIGHTWIRE LIMITED,Fixed Link,420
2026-08-21,T L PARKER LIMITED,Land Mobile,409
2026-08-21,DEPARTMENT OF CONSERVATION,Land Mobile,408
2026-08-21,NZ DEFENCE FORCE HEADQUARTERS,Fixed Link,397
2026-08-21,POWERCO LIMITED,Fixed Link,375
2026-08-21,Downer New Zealand Limited,Land Mobile,349
2026-08-21,SPARK NEW ZEALAND TRADING LIMITED,Paging,347
2026-08-21,National Emergency Management Agency,Land Mobile,344
2026-08-21,KIWIRAIL,Fixed Link,311
2026-08-21,MOBICOMM LIMITED,Land Mobile,311
2026-08-21,NZME RADIO LIMITED,Fixed Link,310
2026-08-21,ORION NEW ZEALAND LTD,Fixed Link,304
2026-08-21,INMARSAT NEW ZEALAND LIMITED,Satellite & Space,302
2026-08-21,MEDIAWORKS RADIO LIMITED,Broadcasting,283
2026-08-21,St John,Land Mobile,262
2026-08-21,DEPARTMENT OF CORRECTIONS,Land Mobile,255
2026-08-21,Fire and Emergency New Zealand,Paging,252
2026-08-21,MOUNT CAMPBELL CONNECT LIMITED,Land Mobile,240
2026-08-21,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,Aeronautical,238
2026-08-21,NZME RADIO LIMITED,Broadcasting,236
2026-08-21,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,Radiodetermination,223
2026-08-21,WIRELESS RENTALS LIMITED,Land Mobile,221
2026-08-21,RADIO NEW ZEALAND LIMITED,Broadcasting,202
2026-08-21,WATERCARE SERVICES LTD,Land Mobile,202
2026-08-21,MEDIAWORKS RADIO LIMITED,Fixed Link,198
2026-08-21,MARITIME NEW ZEALAND,Maritime,197
2026-08-21,Fire and Emergency New Zealand,Land Mobile,193
2026-08-21,"KT1 Co Limited, KT2 Co Limited, NZSF Timber Investments (No 4) Limited",Land Mobile,182
2026-08-21,"STARLINK NEW ZEALAND, UNLIMITED LIABILITY COMPANY",Satellite & Space,180
2026-08-21,TAIT INTERNATIONAL LIMITED,Land Mobile,179
2026-08-21,COLVINS LIMITED,Land Mobile,164
2026-08-21,CANTERBURY COMMUNICATIONS LIMITED,Land Mobile,162
2026-08-21,GISBORNE.NET.N.Z. LIMITED,Fixed Link,162
2026-08-21,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,Fixed Link,161
2026-08-21,NZ DEFENCE FORCE HEADQUARTERS,Aeronautical,160
2026-08-21,MARLBOROUGH LINES LIMITED,Land Mobile,157
2026-08-21,INSPIRE NET LIMITED,Land Mobile,154
2026-08-21,Spotlight NZ,Land Mobile,154
2026-08-21,SIGNALS NZ 2025 LIMITED,Land Mobile,153
2026-08-21,SUMMIT RADIO SOLUTIONS LIMITED,Land Mobile,152
2026-08-21,WATERCARE SERVICES LTD,Fixed Link,152
2026-08-21,NELSPECS LIMITED,Land Mobile,149
2026-08-21,ROYAL NEW ZEALAND COASTGUARD INCORPORATED,Maritime,149
2026-08-21,AMAZON KUIPER NEW ZEALAND LIMITED,Satellite & Space,141
2026-08-21,LIGHTWIRE LIMITED,Spectrum Licence,137
2026-08-21,SURF LIFE SAVING NEW ZEALAND INCORPORATED,Land Mobile,137
2026-08-21,DOVE COMMUNICATIONS (2023) LIMITED,Land Mobile,134
2026-08-21,ENHANCED SOLUTIONS LIMITED,Fixed Link,133
2026-08-21,NEW ZEALAND ASSOCIATION OF RADIO TRANSMITTERS INC,Amateur,132
2026-08-21,WEL NETWORKS LIMITED,Fixed Link,129
2026-08-21,INSPIRE NET LIMITED,Fixed Link,126
2026-08-21,RADIO SYSTEMS LIMITED,Land Mobile,125
2026-08-21,Unifone New Zealand Limited,Fixed Link,122
2026-08-21,TŪ ĀTEA NETWORK SERVICES LIMITED,Paging,120
2026-08-21,AMURI NET LIMITED,Spectrum Licence,117
2026-08-21,TELETRONICS LIMITED,Land Mobile,117
2026-08-21,NZ DEFENCE FORCE HEADQUARTERS,Land Mobile,115
2026-08-21,COGENT LIMITED,Land Mobile,113
2026-08-21,DEPARTMENT OF CONSERVATION,Fixed Link,106
2026-08-21,PRIMOWIRELESS LIMITED,Fixed Link,106
2026-08-21,CHATR COMMUNICATIONS LIMITED,Land Mobile,104
2026-08-21,MARLBOROUGH DISTRICT COUNCIL,Fixed Link,100
2026-08-21,RHEMA MEDIA INCORPORATED,Broadcasting,99
2026-08-21,NZ RED CROSS INC SOCIETY (NATIONAL OFFICE),Land Mobile,98
2026-08-21,TOP ENERGY,Land Mobile,98
2026-08-21,LIGHTWIRE LIMITED,Land Mobile,96
2026-08-21,OCEANA GOLD (NEW ZEALAND) LIMITED,Land Mobile,96
2026-08-21,Downer New Zealand Limited,Fixed Link,95
2026-08-21,St John,Paging,94
